-6	0	0.0692047
-5.9	0	0.0692047
-5.8	0	0.0692047
-5.7	0	0.0692047
-5.6	0	0.0692047
-5.5	0	0.0692047
-5.4	0	0.0692047
-5.3	0	0.0692047
-5.2	0	0.0692047
-5.1	0	0.0692047
-5	0	0.0692047
-4.9	0	0.0692047
-4.8	0	0.0692047
-4.7	0	0.0692047
-4.6	0	0.0692047
-4.5	0	0.0692047
-4.4	0	0.0692047
-4.3	0	0.0692047
-4.2	0	0.0692047
-4.1	0	0.0692047
-4	0	0.0692047
-3.9	0	0.0692047
-3.8	0	0.0692047
-3.7	0	0.0692047
-3.6	0	0.0692047
-3.5	0	0.0692047
-3.4	0	0.0692047
-3.3	0	0.0692047
-3.2	0	0.0692047
-3.1	0	0.0692047
-3	0	0.0692047
-2.9	0	0.0692047
-2.8	0	0.0692046
-2.7	0	0.0692046
-2.6	0	0.0692046
-2.5	0	0.0692046
-2.4	0	0.0692046
-2.3	0	0.0692045
-2.2	0	0.0692044
-2.1	0	0.0692042
-2	0	0.0692039
-1.9	0	0.0692034
-1.8	0	0.0692025
-1.7	0	0.069201
-1.6	0	0.0691983
-1.5	0	0.0691934
-1.4	0	0.0691849
-1.3	0	0.0691697
-1.2	0	0.0691426
-1.1	0	0.0690943
-1	0	0.0690079
-0.9	0	0.0688531
-0.8	0	0.0685755
-0.7	0	0.0680773
-0.6	0	0.0671829
-0.5	0	0.0655766
-0.4	0	0.0626906
-0.3	0	0.0575007
-0.2	0	0.0481401
-0.1	0	0.0311488
-6	0.01	0.000390388
-5.9	0.01	0.000390386
-5.8	0.01	0.000390386
-5.7	0.01	0.000390386
-5.6	0.01	0.000390386
-5.5	0.01	0.000390385
-5.4	0.01	0.000390385
-5.3	0.01	0.000390385
-5.2	0.01	0.000390385
-5.1	0.01	0.000390385
-5	0.01	0.000390385
-4.9	0.01	0.000390385
-4.8	0.01	0.000390385
-4.7	0.01	0.000390385
-4.6	0.01	0.000390385
-4.5	0.01	0.000390385
-4.4	0.01	0.000390385
-4.3	0.01	0.000390385
-4.2	0.01	0.000390385
-4.1	0.01	0.000390385
-4	0.01	0.000390384
